"Source","Destination","Role","RoleSlug","System","Workspace"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Fuck-You-Pay-Me.User Eval — ChatGPT Interface Coherence, Efficacy, and Personalization Architecture.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Fuck-You-Pay-Me.User Eval — ChatGPT Interface Coherence, Efficacy, and Personalization Architecture.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Interproject-Handoff-Contract.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Interproject-Handoff-Contract.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Message-Board.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Message-Board.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Project.Map.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Project.Map.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Prompter.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Prompter.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Prompter.Recommended Global Custom Instructions — Resource-Aware Interaction Policy.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Prompter.Recommended Global Custom Instructions — Resource-Aware Interaction Policy.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Prompter.User Eval — ChatGPT Interface Coherence, Efficacy, and Personalization.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Prompter.User Eval — ChatGPT Interface Coherence, Efficacy, and Personalization.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Schemes.ChatGPT User Experience & Personalization Evaluation.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Schemes.ChatGPT User Experience & Personalization Evaluation.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Schemes.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Schemes.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Schemes.Recommended Global ChatGPT Custom Instructions.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Schemes.Recommended Global ChatGPT Custom Instructions.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Schemes.Reusable ChatGPT Project Instructions Template.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Schemes.Reusable ChatGPT Project Instructions Template.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Trust-Issues.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Trust-Issues.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Trust-Issues.Recommended Personalization Patch — Resource Utilization and UI Policy.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Trust-Issues.Recommended Personalization Patch — Resource Utilization and UI Policy.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Trust-Issues.User Interaction, Interface Coherence, and Efficacy Evaluation.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Trust-Issues.User Interaction, Interface Coherence, and Efficacy Evaluation.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Unified-Role-System.Map.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Unified-Role-System.Map.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Vibes.ChatGPT User Interface & Efficacy Evaluation — Ivan P. Roman.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Vibes.ChatGPT User Interface & Efficacy Evaluation — Ivan P. Roman.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Vibes.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Vibes.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Vibes.Global ChatGPT Resource Utilization & Interaction Directive.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Vibes.Global ChatGPT Resource Utilization & Interaction Directive.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Auth/codependentcoding.auth.identity.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Auth/codependentcoding.auth.identity.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.canonicalization.workflow.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.canonicalization.workflow.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.dashboard.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.dashboard.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.database.map.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.database.map.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.workbench.contract.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/codependentcoding.simples.workbench.contract.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Config/codependentcoding.config.prisma.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Config/codependentcoding.config.prisma.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Database/codependentcoding.database.client.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Database/codependentcoding.database.client.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Database/codependentcoding.database.provider.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Database/codependentcoding.database.provider.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Database/codependentcoding.database.tenant.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Database/codependentcoding.database.tenant.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/DTO/codependentcoding.dto.projects.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/DTO/codependentcoding.dto.projects.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Fetchers/codependentcoding.fetchers.projects.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Fetchers/codependentcoding.fetchers.projects.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Prisma/codependentcoding.prisma.application-owned-tenancy.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Prisma/codependentcoding.prisma.application-owned-tenancy.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Selects/codependentcoding.selects.projects.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Selects/codependentcoding.selects.projects.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Transactions/codependentcoding.transactions.tenant-context.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Transactions/codependentcoding.transactions.tenant-context.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.Simples/Types/codependentcoding.types.access.simple.md","Execution/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.Simples/Types/codependentcoding.types.access.simple.md","Execution","execution","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Anthimeria.Authoritative-Source-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Anthimeria.Authoritative-Source-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Anthimeria.Canonical-Catalog.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Anthimeria.Canonical-Catalog.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Anthimeria.Generic-Reference-Implementation.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Anthimeria.Generic-Reference-Implementation.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Anthimeria-Authority-Package/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Authoritative-Knowledge-System-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Authoritative-Knowledge-System-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Canonical-Knowledge-Catalog.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Canonical-Knowledge-Catalog.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Reconciliation-and-Migration-Guide.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Reconciliation-and-Migration-Guide.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Website-Information-Architecture.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Docs.Website-Information-Architecture.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Docs-Knowledge-Authority-Package/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.Authoritative-Source-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.Authoritative-Source-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.CLI-Generator-Contract.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.CLI-Generator-Contract.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.Implementation-Evidence-Catalog.md","Trust Issues/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.Implementation-Evidence-Catalog.md","Trust Issues","trust-issues","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.Virgule-Application-Definition.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/10.PROJECTS.CODEPENDENTCODING.Hipster-Stack.Virgule-Application-Definition.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/01_hipster_stack_constitution_system/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Arrangement.Generated-Artifact-Contract.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Arrangement.Generated-Artifact-Contract.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Maximal-Template-Arrangement.Implementation-Evidence-Catalog.md","Trust Issues/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Maximal-Template-Arrangement.Implementation-Evidence-Catalog.md","Trust Issues","trust-issues","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Maximal-Template-Arrangement.Materialization-and-Ownership.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Maximal-Template-Arrangement.Materialization-and-Ownership.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Maximal-Template.Authoritative-Domain-Library-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/10.PROJECTS.CODEPENDENTCODING.Maximal-Template.Authoritative-Domain-Library-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/02_maximal_template_arrangement/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/10.PROJECTS.CODEPENDENTCODING.Generation-Pipeline.Authoritative-Integration-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/10.PROJECTS.CODEPENDENTCODING.Generation-Pipeline.Authoritative-Integration-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/10.PROJECTS.CODEPENDENTCODING.Generation-Pipeline.Codex-Reference-Implementation.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/10.PROJECTS.CODEPENDENTCODING.Generation-Pipeline.Codex-Reference-Implementation.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/10.PROJECTS.CODEPENDENTCODING.Generation-Pipeline.State-and-Authority-Matrix.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/10.PROJECTS.CODEPENDENTCODING.Generation-Pipeline.State-and-Authority-Matrix.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/03_generation_pipeline/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/README.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Codependent-Coding-Generation-System-Authority-Bundle/README.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Loaded-Vibes.Authoritative-Plugin-Spec.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Loaded-Vibes.Authoritative-Plugin-Spec.md","Vibes","vibes","codependent-coding","codependent-coding"
"10 PROJECTS/10.PROJECTS.CODEPENDENTCODING/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Loaded-Vibes.Package-Manifest.md","Vibes/Workspaces/Codependent Coding/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture/Loaded-Vibes-Plugin-Authority-Package/10.PROJECTS.CODEPENDENTCODING.Loaded-Vibes.Package-Manifest.md","Vibes","vibes","codependent-coding","codependent-coding"
