"Path","LegacyRoot","Title","Namespace","Role","System","Workspace","Type","Project","Domain","Status","Authority","SuggestedRole","SuggestedSystem","SuggestedWorkspace","SuggestedTarget","MigrationDisposition","Confidence","NeedsHumanReview","PathSensitiveReferenceCount","PathSensitiveKinds"
"_obsidian\Templates\handoff.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'handoff') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","handoff","","","ready","operational","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\knowledge-model.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'knowledge-model') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","knowledge-model","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\prd.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'prd') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","prd","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\progress.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'progress') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","progress","","","in-progress","operational","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\project-home.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'project') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","project","","","active","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\prompt-contract.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'prompt-contract') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","prompt-contract","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\reference.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'reference') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","reference","","","active","supporting","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\research.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'research') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","research","","","draft","supporting","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\specification.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'specification') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","specification","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\technical-requirements.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'technical-requirements') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","technical-requirements","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\validation-conformance.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'validation') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","validation","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\verification-evidence.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'verification') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","verification","","","draft","implementation-evidence","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\work-package.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'work-package') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","work-package","","","ready","operational","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Workflows\devnotes.template-routing.workflow.md","_obsidian","DevNotes Unified Template Routing","devnotes.devnotes.template-routing.workflow","devnotes","devnotes","","workflow","","","active","operational","devnotes","devnotes","","_obsidian","already-unified","high","False","1","path-qualified-wikilink"
"_ops\README.md","_ops","","","","","","","","","","","","","","_ops","already-unified","high","False","0",""
"_ops\Reports\devnotes.migration.context-dependency-map.execution.md","_ops","DevNotes Unified Migration Context and Dependency Map","devnotes.devnotes.migration.context-dependency-map.execution","devnotes","devnotes","devnotes-unified-migration","execution","","","active","implementation-evidence","devnotes","devnotes","devnotes-unified-migration","_ops","already-unified","high","False","0",""
"_ops\Reports\devnotes.source-mirror.classification.report.md","_ops","DevNotes Source Mirror Classification Report","devnotes.devnotes.source-mirror.classification.report","devnotes","codependent-coding","codependent-coding","execution","","","active","implementation-evidence","devnotes","codependent-coding","codependent-coding","_ops","already-unified","high","False","3","path-qualified-wikilink"
"_ops\Reports\devnotes.unified.migration-conformance.report.md","_ops","DevNotes Unified Knowledge and Engineering System Migration Conformance Report","devnotes.devnotes.unified.migration-conformance.execution","devnotes","devnotes","devnotes-unified-migration","execution","DevNotes Unified Knowledge and Engineering System","migration","active","implementation-evidence","devnotes","devnotes","devnotes-unified-migration","_ops","already-unified","high","False","0",""
".obsidian\plugins\obsidian-linter\default-misspellings.md",".obsidian","","","","","","","","","","","","","",".obsidian","already-unified","high","False","0",""
".system\README.md",".system","","","","","","","","","","","","","",".system","already-unified","high","False","0",""
"00 ZETTELKASTEN\zettelkasten.map.md","00 ZETTELKASTEN","Zettelkasten Map","devnotes.zettelkasten.map","","","","map","","vault","active","reference","devnotes","devnotes","","DevNotes/Inbox","classify-before-promotion","medium","True","2","query-folder-source"
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Chief-of-Staff.Configuration.Source-Document.md","10 PROJECTS","Chief of Staff ChatGPT Project Configuration","chatgpt-projects.chief-of-staff.configuration.source-document","","","","source-document","ChatGPT Projects","chief-of-staff","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Chief-of-Staff.Supplemental Custom Instructions — Resource-Enrichment Layer.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Chief-of-Staff.User Eval — ChatGPT Interface Coherence, Efficacy, and Resource Utilization.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Devnotes.Configuration.Source-Document.md","10 PROJECTS","DevNotes ChatGPT Project Configuration","chatgpt-projects.devnotes.configuration.source-document","","","","source-document","ChatGPT Projects","devnotes","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.DevNotes.Recommended ChatGPT Personalization Configuration.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.DevNotes.User Eval — ChatGPT Interface Coherence & Efficacy.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Execution.ChatGPT Interaction & Resource-Utilization Personalization Addendum.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Execution.ChatGPT User Interface & Interaction Efficacy Evaluation.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Execution.Configuration.Source-Document.md","10 PROJECTS","Execution ChatGPT Project Configuration","chatgpt-projects.execution.configuration.source-document","","","","source-document","ChatGPT Projects","execution","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Fuck-You-Pay-Me.Configuration.Source-Document.md","10 PROJECTS","Fuck You Pay Me ChatGPT Project Configuration","chatgpt-projects.fuck-you-pay-me.configuration.source-document","","","","source-document","ChatGPT Projects","fuck-you-pay-me","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Fuck-You-Pay-Me.User Eval — ChatGPT Interface Coherence, Efficacy, and Personalization Architecture.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Interproject-Handoff-Contract.md","10 PROJECTS","ChatGPT Interproject Handoff Contract","chatgpt-projects.interproject-handoff-contract","","","","contract","ChatGPT Projects","coordination","active","user-approved-operating-contract","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Message-Board.md","10 PROJECTS","ChatGPT Interproject Message Board","chatgpt-projects.message-board","","","","message-board","ChatGPT Projects","coordination","active","operational-handoff-log","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Project.Map.md","10 PROJECTS","ChatGPT Projects Operating System","chatgpt-projects.project.map","","","","map","ChatGPT Projects","chatgpt-projects","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Prompter.Configuration.Source-Document.md","10 PROJECTS","Prömpter ChatGPT Project Configuration","chatgpt-projects.prompter.configuration.source-document","","","","source-document","ChatGPT Projects","prompter","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Prompter.Recommended Global Custom Instructions — Resource-Aware Interaction Policy.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Prompter.User Eval — ChatGPT Interface Coherence, Efficacy, and Personalization.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Schemes.ChatGPT User Experience & Personalization Evaluation.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Schemes.Configuration.Source-Document.md","10 PROJECTS","Data Modeler ChatGPT Project Configuration","chatgpt-projects.data-modeler.configuration.source-document","","","","source-document","ChatGPT Projects","data-modeler","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Schemes.Recommended Global ChatGPT Custom Instructions.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Schemes.Reusable ChatGPT Project Instructions Template.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Trust-Issues.Configuration.Source-Document.md","10 PROJECTS","Trust Issues ChatGPT Project Configuration","chatgpt-projects.trust-issues.configuration.source-document","","","","source-document","ChatGPT Projects","trust-issues","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Trust-Issues.Recommended Personalization Patch — Resource Utilization and UI Policy.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Trust-Issues.User Interaction, Interface Coherence, and Efficacy Evaluation.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Unified-Role-System.Map.md","10 PROJECTS","ChatGPT Unified Role System Map","devnotes.devnotes.chatgpt-role-system.map","devnotes","devnotes","chatgpt-role-system","map","","","active","project-specific","devnotes","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","2","path-qualified-wikilink"
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Vibes.ChatGPT User Interface & Efficacy Evaluation — Ivan P. Roman.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Vibes.Configuration.Source-Document.md","10 PROJECTS","Vibes ChatGPT Project Configuration","chatgpt-projects.vibes.configuration.source-document","","","","source-document","ChatGPT Projects","vibes","active","derived","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CHATGPT\10.PROJECTS.CHATGPT.Vibes.Global ChatGPT Resource Utilization & Interaction Directive.md","10 PROJECTS","","","","","","","","","","","chief-of-staff","devnotes","chatgpt-role-system","role Canon or Chief of Staff/Workspaces/chatgpt-role-system","preserve-provenance-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Simples\Auth\codependentcoding.auth.identity.simple.md","10 PROJECTS","Maximal Template — lib/auth/identity.ts","codependentcoding.auth.identity.simple","","","","simple","Codependent Coding","authentication","review","working-note","role-owner-by-responsibility","codependent-coding","codependent-coding","role-owned Codependent Coding lens or current project workspace","preserve-canon-and-link","medium","True","5","path-qualified-wikilink;query-folder-source"
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Simples\codependentcoding.simples.canonicalization.workflow.md","10 PROJECTS","Codependent Coding Simple Canonicalization Workflow","codependentcoding.simples.canonicalization.workflow","","","","workflow","Codependent Coding","simples","review","working-note","role-owner-by-responsibility","codependent-coding","codependent-coding","role-owned Codependent Coding lens or current project workspace","preserve-canon-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Simples\codependentcoding.simples.dashboard.md","10 PROJECTS","Codependent Coding Simples Dashboard","codependentcoding.simples.dashboard","","","","dashboard","Codependent Coding","simples","active","derived","role-owner-by-responsibility","codependent-coding","codependent-coding","role-owned Codependent Coding lens or current project workspace","preserve-canon-and-link","medium","True","9","query-folder-source"
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Simples\codependentcoding.simples.database.map.md","10 PROJECTS","Codependent Coding Simples — Database Library Map","codependentcoding.simples.database.map","","","","map","Codependent Coding","database","review","working-note","role-owner-by-responsibility","codependent-coding","codependent-coding","role-owned Codependent Coding lens or current project workspace","preserve-canon-and-link","medium","True","1","query-folder-source"
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Simples\codependentcoding.simples.workbench.contract.md","10 PROJECTS","Codependent Coding Simple Workbench Contract","codependentcoding.simples.workbench.contract","","","","contract","Codependent Coding","simples","review","working-note","role-owner-by-responsibility","codependent-coding","codependent-coding","role-owned Codependent Coding lens or current project workspace","preserve-canon-and-link","medium","True","0",""
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Simples\Config\codependentcoding.config.prisma.simple.md","10 PROJECTS","Maximal Template — prisma.config.ts","codependentcoding.config.prisma.simple","","","","simple","Codependent Coding","configuration","review","working-note","role-owner-by-responsibility","codependent-coding","codependent-coding","role-owned Codependent Coding lens or current project workspace","preserve-canon-and-link","medium","True","4","query-folder-source"
