book	source	chapter	axis	term	bytes	sha256	output
Knowledge	60.CODEPENDENTCODING.Provenance.Readme.Reference.md	Chapter-07.Knowledge-System-Definition.md	6. Instantiation (User Layer)	Information Architecture	2304	b3da4f6ba662693825999247fd793b4e9389edd6e1fb0ab861ee419e68d0e9c1	01-The-Book-of-Knowledge/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Readme.Source-Document.md	Chapter-07.Knowledge-System-Definition.md	6. Instantiation (User Layer)	Information Architecture	5979	78752f5f7b9af9d85098a412435a5d9cf200f18c0c77db97512b4e6e003d6fad	01-The-Book-of-Knowledge/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
Implementation	40.ARCHIVE.TECHSTACK.Knowledge-System.Definition.Source-Document.md	Chapter-07.Knowledge-System-Definition.md	2. Definition (Conceptual)	Mereology	7768	a4bd12fb3e270a7c1e9c16721a634e7da956dbd0490c8731a71fb5e4b0763c42	02-The-Book-of-Implementation/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Docs.Terminology-Nomenclature.Reference.md	Chapter-08.System-Architecture-Terminology.md	3. Representation (Logical)	Terminology	7285	d3be83f70136dbbfa5dc2e31597892aa9edaaab6fa60acd9643db17d75704e24	01-The-Book-of-Knowledge/03-Representation-Logical/Terminology/Chapter-08.System-Architecture-Terminology.md
Implementation	40.ARCHIVE.TECHSTACK.System-Architecture.Terminology.Reference.md	Chapter-08.System-Architecture-Terminology.md	3. Representation (Logical)	Terminology	8675	93c416ab8dc05bcefe5e9038c0b62d0181480b899ea49f17254f37f6b31bd878	02-The-Book-of-Implementation/03-Representation-Logical/Terminology/Chapter-08.System-Architecture-Terminology.md
Knowledge	60.CODEPENDENTCODING.Patterns.Catalog.Map.md	Chapter-09.Patterns-Catalog.md	3. Representation (Logical)	Taxonomy	9746	4d580ffa17de41c13ec1fe9a94683fcabf64e48ea8e80cd44f457925f99a37b9	01-The-Book-of-Knowledge/03-Representation-Logical/Taxonomy/Chapter-09.Patterns-Catalog.md
Knowledge	60.CODEPENDENTCODING.Patterns.Supporting-Patterns.Reference.md	Chapter-09.Patterns-Catalog.md	3. Representation (Logical)	Taxonomy	2669	f90a46c5b6e1d81278c5107cb216bf9848e9122ddfd599aca5d5003b48db8fc4	01-The-Book-of-Knowledge/03-Representation-Logical/Taxonomy/Chapter-09.Patterns-Catalog.md
Knowledge	60.CODEPENDENTCODING.Provenance.Pattern-Traceability.Reference.md	Chapter-09.Patterns-Catalog.md	5. Configuration (Runtime)	Knowledge Graph	8055	24622168a3c82ac798a9ca62a102764834c40cc41613b56bd2692b72ef6b770e	01-The-Book-of-Knowledge/03-Representation-Logical/Taxonomy/Chapter-09.Patterns-Catalog.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Catalog.Map.md	Chapter-09.Patterns-Catalog.md	3. Representation (Logical)	Taxonomy	5798	f80789ac5b3a815d1b8d22e847d05113ad1708491f179c290bd8f60cc83bfdaf	02-The-Book-of-Implementation/03-Representation-Logical/Taxonomy/Chapter-09.Patterns-Catalog.md
Knowledge	60.CODEPENDENTCODING.Agents.Contracts.Product.Contract.md	Chapter-10.Product-Contract.md	4. Specification (Physical)	Domain Model	2312	305dca792c357d6eb3902f8eae0b67d7067a1529ba966460304252b5298b5d17	01-The-Book-of-Knowledge/04-Specification-Physical/Domain-Model/Chapter-10.Product-Contract.md
Knowledge	60.CODEPENDENTCODING.Provenance.Contract-Traceability.Reference.md	Chapter-10.Product-Contract.md	5. Configuration (Runtime)	Knowledge Graph	11907	284bad96360c545d2f12da1ad6c09cf52d2d5515024ee7b5b83fb66b307f635b	01-The-Book-of-Knowledge/04-Specification-Physical/Domain-Model/Chapter-10.Product-Contract.md
Implementation	40.ARCHIVE.TECHSTACK.Contracts.Product.Contract.md	Chapter-10.Product-Contract.md	4. Specification (Physical)	Domain Model	1357	7b96f27f58f4a4efe3121f4d38a2d7bf59cf372a8247e5c999b50e2999cc91af	02-The-Book-of-Implementation/04-Specification-Physical/Domain-Model/Chapter-10.Product-Contract.md
Knowledge	60.CODEPENDENTCODING.Docs.Layer-Contracts.Contract.md	Chapter-11.Layer-Contract.md	1. Identification (Abstract)	Topology	7719	94aca619cbe9cac29afb50c7a7071a3de97cda99b95c4b76b3f1cc3444d4d34d	01-The-Book-of-Knowledge/04-Specification-Physical/Schema/Chapter-11.Layer-Contract.md
Knowledge	60.CODEPENDENTCODING.Patterns.Layer-Contract.Reference.md	Chapter-11.Layer-Contract.md	4. Specification (Physical)	Schema	2592	c0ca628f6b5f271f5a2be7f665369ce3e95d023395248751b58e0b9be4614fa6	01-The-Book-of-Knowledge/04-Specification-Physical/Schema/Chapter-11.Layer-Contract.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Layer-Contract.Reference.md	Chapter-11.Layer-Contract.md	4. Specification (Physical)	Schema	17579	4120b707edf84b45416c5a47d16bb97ab537e89a5b9f2240a3d25ea4a56a0937	02-The-Book-of-Implementation/04-Specification-Physical/Schema/Chapter-11.Layer-Contract.md
Knowledge	60.CODEPENDENTCODING.Docs.Agent-Execution.Execution.md	Chapter-12.Execution-Contract.md	2. Definition (Conceptual)	Semantics	4046	407fd6712ad5cb08eae29dd9656ea48079006a9916f7f15aa88e5404ffdfaa86	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-12.Execution-Contract.md
Knowledge	60.CODEPENDENTCODING.Agents.Contracts.Execution.Contract.md	Chapter-12.Execution-Contract.md	4. Specification (Physical)	Typology	1749	e2aa14fa9666af587b208a57a3a219cc22076814f75b078291e1fe4eb0905be7	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-12.Execution-Contract.md
Implementation	40.ARCHIVE.TECHSTACK.Contracts.Execution.Contract.md	Chapter-12.Execution-Contract.md	4. Specification (Physical)	Typology	869	4a1dec401cdac7f3fd9904e4900e73cd9feb26a915ad6dce6949191f9938fd26	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-12.Execution-Contract.md
Knowledge	60.CODEPENDENTCODING.Docs.Validation-Conformance.Contract.md	Chapter-13.Validation-Contract.md	1. Identification (Abstract)	Epistemology	4402	5814c5477bdc01b916454d714974b1185a6d13d19160a995b9b85fe2aae46da5	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-13.Validation-Contract.md
Knowledge	60.CODEPENDENTCODING.Agents.Contracts.Validation.Contract.md	Chapter-13.Validation-Contract.md	4. Specification (Physical)	Typology	2185	0d68edf8c2d1fe4d1a022d6c18b318039f8f3e31e6f8187a7472f13fc91f970e	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-13.Validation-Contract.md
Implementation	40.ARCHIVE.TECHSTACK.Contracts.Validation.Contract.md	Chapter-13.Validation-Contract.md	4. Specification (Physical)	Typology	1299	1b7a7437dabc75a084ebf8a76198e20f0d8c04b05f6ccdb9d4cb24a238a536b7	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-13.Validation-Contract.md
Knowledge	60.CODEPENDENTCODING.Patterns.Application-Workflow.Reference.md	Chapter-14.Application-Workflow.md	4. Specification (Physical)	Typology	2771	86a89c731330207b74fbfb1e8b050cd43efa9c3b3d203492c4a2eeb6b81bee73	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-14.Application-Workflow.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Application-Workflow.Reference.md	Chapter-14.Application-Workflow.md	4. Specification (Physical)	Typology	15382	a0040bb4b999cfb2ffc52254c3d25b589d66bd42f0d46b58d3aa6585d96de121	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-14.Application-Workflow.md
Knowledge	60.CODEPENDENTCODING.Docs.Security-Model.Contract.md	Chapter-15.Auth-Authz-Boundary.md	2. Definition (Conceptual)	Semantics	5473	f8ac49a07ee4f8ca3186263261d6f9e339b6881633ec1ed14ce570072322ac96	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-15.Auth-Authz-Boundary.md
Knowledge	60.CODEPENDENTCODING.Patterns.Auth-Authz-Policy.Reference.md	Chapter-15.Auth-Authz-Boundary.md	4. Specification (Physical)	Typology	2831	731b42c062790dc354fc160141a41099a390387f8e6f4a25da3bb911630761b3	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-15.Auth-Authz-Boundary.md
Knowledge	60.CODEPENDENTCODING.Patterns.Quality-Policy-Patterns.Reference.md	Chapter-15.Auth-Authz-Boundary.md	4. Specification (Physical)	Typology	17089	558d4df8a4a740a2d831fcb635a0fca7a5e45f9cb15ff2f7ad3d9fc333f35fe4	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-15.Auth-Authz-Boundary.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Auth-Authz-Boundary.Reference.md	Chapter-15.Auth-Authz-Boundary.md	4. Specification (Physical)	Typology	15580	ab1144bfe7de94ec5acfe486555e1d36d0e04b37aae2812540a53a242ab9f46d	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-15.Auth-Authz-Boundary.md
Knowledge	60.CODEPENDENTCODING.Patterns.Data-Contract-Patterns.Reference.md	Chapter-16.Fetcher.md	4. Specification (Physical)	Typology	9979	4757f677cad219d73a0ef9f8156f2c73b7cbb69267235725f0edf510eff6c983	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-16.Fetcher.md
Knowledge	60.CODEPENDENTCODING.Patterns.Fetcher.Reference.md	Chapter-16.Fetcher.md	4. Specification (Physical)	Typology	2921	87a5d8f72db4b231db753acb6f371c446e389d03042e701d77b95d5f032ff8f9	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-16.Fetcher.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Fetcher.Reference.md	Chapter-16.Fetcher.md	4. Specification (Physical)	Typology	20082	4b8df5988fa2f8adb22811fae7f7234e8dbcdcd81cd2668a6eba07063717c74b	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-16.Fetcher.md
Knowledge	60.CODEPENDENTCODING.Docs.Governance-Model.Contract.md	Chapter-17.Governance-System.md	1. Identification (Abstract)	Epistemology	3726	cbd0721605b70a7ff8585c26fb6444f215a39342d2cd19f649b627e6089d0750	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-17.Governance-System.md
Knowledge	60.CODEPENDENTCODING.Docs.Specification-Model.Contract.md	Chapter-17.Governance-System.md	4. Specification (Physical)	Typology	3318	37473cf26d682a9196f972dbad74eb44187535f71ed91d87f2eb43bc79dd0fc6	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-17.Governance-System.md
Knowledge	60.CODEPENDENTCODING.Patterns.Governance-System.Reference.md	Chapter-17.Governance-System.md	4. Specification (Physical)	Typology	2678	9d85cdb92179101712e44a37afe3f1e004c67079d3d4053fe411156e0edda243	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-17.Governance-System.md
Knowledge	60.CODEPENDENTCODING.Github.Issue-Template.Config.Reference.md	Chapter-17.Governance-System.md	5. Configuration (Runtime)	Metadata	861	6ed3642d344f44eeb1b77e248bf510783e75301fa19caadeb43d34a834bce150	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-17.Governance-System.md
Knowledge	60.CODEPENDENTCODING.Github.Issue-Template.Defect.Template.md	Chapter-17.Governance-System.md	5. Configuration (Runtime)	Metadata	3552	5d5ada7e3eb9c6820f18ab328bd5baccd030b39914a21f67f3c624607dc000e2	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-17.Governance-System.md
Knowledge	60.CODEPENDENTCODING.Github.Pull-Request.Template.md	Chapter-17.Governance-System.md	5. Configuration (Runtime)	Metadata	3015	c4d2d85cda83110fd9fbef8dcdfa378a38156d9802763ebc7acc39277820933b	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-17.Governance-System.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Governance-System.Reference.md	Chapter-17.Governance-System.md	4. Specification (Physical)	Typology	24219	b5b6ecd1e41ec402e84fc8affd6f3dd2d3c8cb6052565b03329b95c44303e075	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-17.Governance-System.md
Knowledge	60.CODEPENDENTCODING.Patterns.Server-Action.Reference.md	Chapter-18.Server-Action.md	4. Specification (Physical)	Typology	2514	a6fb85f2ecb96244efd1f1397fb2209bcfec0d9d41db984ada83bb6221dec0c0	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-18.Server-Action.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Server-Action.Reference.md	Chapter-18.Server-Action.md	4. Specification (Physical)	Typology	11370	1e36a7857f963b5248f46c332682ae30bf537b7274f80edf0017aeb7d44647af	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-18.Server-Action.md
Knowledge	60.CODEPENDENTCODING.Docs.System-Lifecycles.Contract.md	Chapter-19.System-Lifecycle.md	4. Specification (Physical)	Typology	63577	ea1a396e4a3447ed34525dd503be89e79a7966502ae7934425da42607f759916	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-19.System-Lifecycle.md
Knowledge	60.CODEPENDENTCODING.Patterns.System-Lifecycle.Reference.md	Chapter-19.System-Lifecycle.md	4. Specification (Physical)	Typology	4726	75d93d568e8913fd01068b3a3c4d8f1863b07b89ee697d42495b9281f8600aff	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-19.System-Lifecycle.md
Knowledge	60.CODEPENDENTCODING.Provenance.Lifecycle-Traceability.Reference.md	Chapter-19.System-Lifecycle.md	5. Configuration (Runtime)	Knowledge Graph	8434	af8c132a332441bb7da5ee76ee125c875495022c300479bd9a9384aee37f17f2	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-19.System-Lifecycle.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.System-Lifecycle.Reference.md	Chapter-19.System-Lifecycle.md	4. Specification (Physical)	Typology	18237	3f91b5eb5e58bc96cb0b7510160608ee96721e97695b2cedd2af8a7b0610be30	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-19.System-Lifecycle.md
Knowledge	60.CODEPENDENTCODING.Patterns.Transaction-Helper.Reference.md	Chapter-20.Transaction-Helper.md	4. Specification (Physical)	Typology	2630	b3409b4c77175ea92bd560e19443583ab337e6c4b0695ba64cf2f49ae19a04f3	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-20.Transaction-Helper.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Transaction-Helper.Reference.md	Chapter-20.Transaction-Helper.md	4. Specification (Physical)	Typology	12777	95c968dd76b5a69fbbd549f1096e1a516019fcb77d7a6b68bb07f3e7079a471c	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-20.Transaction-Helper.md
Knowledge	60.CODEPENDENTCODING.Patterns.Webhook-Processor.Reference.md	Chapter-21.Webhook-Processor.md	4. Specification (Physical)	Typology	2802	1907693a5017b1216d12d96a2171291f3be49beaff7dfe240975743ce66e3cbe	01-The-Book-of-Knowledge/04-Specification-Physical/Typology/Chapter-21.Webhook-Processor.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Webhook-Processor.Reference.md	Chapter-21.Webhook-Processor.md	4. Specification (Physical)	Typology	19965	1eeaa764056dc7b9c140549e681f38777a3e045d55d9df3833701fee9f6da8b2	02-The-Book-of-Implementation/04-Specification-Physical/Typology/Chapter-21.Webhook-Processor.md
Knowledge	60.CODEPENDENTCODING.Manifest.Map.md	Chapter-22.Knowledge-System-Map.md	6. Instantiation (User Layer)	Information Architecture	3369	b7fecfa2a61363a3af02626ff13989ca2d4c9a4765b5be7d3bf034673b29ae89	01-The-Book-of-Knowledge/06-Instantiation-User-Layer/Information-Architecture/Chapter-22.Knowledge-System-Map.md
Implementation	40.ARCHIVE.TECHSTACK.Knowledge-System.Map.md	Chapter-22.Knowledge-System-Map.md	6. Instantiation (User Layer)	Information Architecture	4012	cd3cbfb2a51be1978df62996cb3218ff99507c12cd5d2f21ba771894f3348077	02-The-Book-of-Implementation/06-Instantiation-User-Layer/Information-Architecture/Chapter-22.Knowledge-System-Map.md
Knowledge	60.CODEPENDENTCODING.Provenance.Source-Provenance-Ledger.Reference.md	Chapter-23.Tech-Stack-Map.md	5. Configuration (Runtime)	Knowledge Graph	14124	cc8884694d0150109576ebf964e72875860957da2f9d4569c994bea74137247e	01-The-Book-of-Knowledge/06-Instantiation-User-Layer/Information-Architecture/Chapter-23.Tech-Stack-Map.md
Implementation	40.ARCHIVE.TECHSTACK.Map.md	Chapter-23.Tech-Stack-Map.md	6. Instantiation (User Layer)	Information Architecture	2101	9c3b204410142e2d6a1ac3360da9e927e0096f71086e9f30f97ed280d818b312	02-The-Book-of-Implementation/06-Instantiation-User-Layer/Information-Architecture/Chapter-23.Tech-Stack-Map.md
Knowledge	60.CODEPENDENTCODING.Patterns.Presentation-Patterns.Reference.md	Chapter-24.Route-Feature-Orchestration.md	6. Instantiation (User Layer)	Information Architecture	12316	656b0483f718e562d3a98e5e5811019db57bfb023fdabbf6edd788d4ee3ad0c7	01-The-Book-of-Knowledge/06-Instantiation-User-Layer/Information-Architecture/Chapter-24.Route-Feature-Orchestration.md
Knowledge	60.CODEPENDENTCODING.Patterns.Route-Feature-Orchestration.Reference.md	Chapter-24.Route-Feature-Orchestration.md	6. Instantiation (User Layer)	Information Architecture	2741	d1c5dea65a0f08743bc5c76f92f2092e72e4b1c704a3b614e333036079162d80	01-The-Book-of-Knowledge/06-Instantiation-User-Layer/Information-Architecture/Chapter-24.Route-Feature-Orchestration.md
Implementation	40.ARCHIVE.TECHSTACK.Patterns.Route-Feature-Orchestration.Reference.md	Chapter-24.Route-Feature-Orchestration.md	6. Instantiation (User Layer)	Information Architecture	18875	32996e0933497ded3996f92f9eb838c5ecc4ffb45055a508e9bf58a1322f7d86	02-The-Book-of-Implementation/06-Instantiation-User-Layer/Information-Architecture/Chapter-24.Route-Feature-Orchestration.md
